attribute,setting,seed,post_yield,field,quantile,value
load_increment,1e-06,0,True,rev_sigma,0.99,1.779820111267e-06
load_increment,1e-06,1,True,rev_sigma,0.99,1.8082929444970001e-06
load_increment,1e-06,2,True,rev_sigma,0.99,1.8261896877300007e-06
load_increment,1e-06,3,True,rev_sigma,0.99,1.8068265243860002e-06
load_increment,5e-06,0,True,rev_sigma,0.99,7.682234009150999e-06
load_increment,5e-06,1,True,rev_sigma,0.99,8.174856908035e-06
load_increment,5e-06,2,True,rev_sigma,0.99,7.941285878425002e-06
load_increment,5e-06,3,True,rev_sigma,0.99,8.536398993559e-06
load_increment,1e-05,0,True,rev_sigma,0.99,1.5304985439600002e-05
load_increment,1e-05,1,True,rev_sigma,0.99,1.688164405625e-05
load_increment,1e-05,2,True,rev_sigma,0.99,1.61948961662e-05
load_increment,1e-05,3,True,rev_sigma,0.99,1.699740390946e-05
load_increment,5e-05,0,True,rev_sigma,0.99,7.121642069286e-05
load_increment,5e-05,1,True,rev_sigma,0.99,7.945020923765e-05
load_increment,5e-05,2,True,rev_sigma,0.99,7.90461247242e-05
load_increment,5e-05,3,True,rev_sigma,0.99,8.220327118364998e-05
load_increment,0.0001,0,True,rev_sigma,0.99,0.0001638400506244
load_increment,0.0001,1,True,rev_sigma,0.99,0.000162653934434
load_increment,0.0001,2,True,rev_sigma,0.99,0.00015103857528679998
load_increment,0.0001,3,True,rev_sigma,0.99,0.0001608372249716
