load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_fix_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
32,0.15031,461.38948006,-1.0163751483e-05,461.38948903,-8.972642263e-06,0.0036911158405,-8.1310011675e-11,0.0036911159123,-7.1781137891e-11,0,0,0.1943391855,1.4750545364e-06,0,9.4837188675e-05,0,0,9.4777135411e-05,0,6.0053264449e-08,0,0.011159843254,0,0,0,0,0,0,0,0,0,40848,46013,17833,20306,29221,33284,29460,33035,3,0,3,-1,713,1140,0,2,0,0,5h 39m 39s,5h 34m 23.468s,5m 8.139s,526d 20h 21m 45s,143.78887882,124.99985137,287.47961015,-0.097889851417,250.8227796,-1.0028946009
33,0.15032,461.38948231,2.2454728423e-06,461.38949124,-8.9340473437e-06,0.0036911158585,1.7963782805e-11,0.0036911159299,-7.1472378797e-11,0,0,0.19434469112,1.6705110718e-06,0,9.486568597e-05,0,0,9.4803816179e-05,0,6.1869790511e-08,0,0.011171093284,0,0,0,0,0,0,0,0,2,40861,46001,17840,20298,29234,33274,29467,33025,3,0,3,-1,699,1152,0,2,0,0,5h 46m 35s,5h 41m 18.984s,5m 8.139s,523d 52m 6s,143.79012882,124.99985137,287.48214536,-0.097854640684,250.82285006,-1.0028747548
34,0.15033,461.38949696,1.4652426273e-05,461.38950591,-8.9466566919e-06,0.0036911159757,1.1721940996e-10,0.0036911160472,-7.1573253834e-11,0,0,0.1943504251,1.9801317103e-07,0,9.4891619571e-05,0,0,9.4832336133e-05,0,5.9283438473e-08,0,0.011182339253,0,0,0,0,0,0,0,0,2,40876,45990,17843,20291,29250,33258,29469,33023,3,0,3,-1,907,1683,0,2,0,0,5h 56m 41s,5h 51m 24.653s,5m 8.139s,525d 7h 20m 50s,143.79137882,124.99985137,287.48468003,-0.097819965016,250.82291071,-1.0028541223
35,0.15034,461.38952402,2.7059764989e-05,461.38953298,-8.957441139e-06,0.0036911161921,2.1647812015e-10,0.0036911162638,-7.1659529005e-11,0,0,0.19435597447,7.4736654887e-07,0,9.4919509059e-05,0,0,9.4858292747e-05,0,6.1216312681e-08,0,0.011193577089,0,0,0,0,0,0,0,0,3,40896,45978,17848,20278,29258,33248,29486,33008,3,0,3,-1,792,1538,0,2,0,0,6h 5m 59s,6h 42.994s,5m 8.139s,526d 40m 46s,143.79262882,124.99985137,287.48721715,-0.09778285037,250.82297958,-1.002833484
36,0.15035,461.38956348,3.9465229008e-05,461.38957244,-8.9604000095e-06,0.0036911165079,3.1572183192e-10,0.0036911165796,-7.1683200174e-11,0,0,0.19436140812,1.0264541265e-06,0,9.4946710963e-05,0,0,9.4886205523e-05,0,6.0505439823e-08,0,0.011204821672,0,0,0,0,0,0,0,0,3,40912,45965,17844,20279,29263,33244,29493,33000,3,0,3,-1,671,1275,0,2,0,0,6h 13m 23s,6h 8m 6.503s,5m 8.139s,523d 9h 14m 37s,143.79387882,124.99985137,287.48975759,-0.097742408171,250.8230495,-1.0028090209
37,0.15036,461.38961534,5.1860181316e-05,461.38962433,-8.9836980237e-06,0.0036911169228,4.1488145038e-10,0.0036911169946,-7.1869584502e-11,0,0,0.19436705746,8.5783251386e-07,0,9.4971227427e-05,0,0,9.4913430603e-05,0,5.7796824675e-08,0,0.011216033741,0,0,0,0,0,0,0,0,2,40918,45963,17847,20272,29265,33242,29500,32993,3,0,3,-1,944,1610,0,2,0,0,6h 23m 18s,6h 18m 1.628s,5m 8.139s,525d 3h 39m 41s,143.79512882,124.99985137,287.49229064,-0.097709363598,250.82311238,-1.002789601
38,0.15037,461.38967961,6.4263723402e-05,461.38968857,-8.957300679e-06,0.0036911174369,5.1410978729e-10,0.0036911175085,-7.1658405338e-11,0,0,0.19437246126,1.8696387988e-06,0,9.4998407358e-05,0,0,9.4937972326e-05,0,6.0435031584e-08,0,0.01122727911,0,0,0,0,0,0,0,0,1,40930,45949,17852,20269,29277,33238,29505,32980,3,0,3,-1,683,1282,0,2,0,0,6h 32m 19s,6h 25m 49.030s,6m 21.403s,525d 8h 1m 0s,143.79637882,124.99985137,287.49483341,-0.097666592063,250.82318257,-1.0027644716
39,0.15038,461.38975626,7.6655450755e-05,461.38976525,-8.9890551749e-06,0.0036911180501,6.1324360607e-10,0.003691118122,-7.191244128e-11,0,0,0.19437791904,1.3687417811e-06,0,9.5024206606e-05,0,0,9.4965175898e-05,0,5.9030707875e-08,0,0.011238481892,0,0,0,0,0,0,0,0,1,40938,45942,17857,20263,29284,33232,29511,32973,3,0,3,-1,662,1266,0,2,0,0,6h 39m 36s,6h 33m 5.486s,6m 21.403s,522d 17h 37m 17s,143.79762881,124.99985137,287.49736971,-0.097630287318,250.82325408,-1.0027436721
40,0.15039,461.38984531,8.9044599008e-05,461.38985427,-8.9649843744e-06,0.0036911187625,7.1235679204e-10,0.0036911188342,-7.1719875264e-11,0,0,0.19438362647,7.2422725261e-07,0,9.5048783358e-05,0,0,9.4990999864e-05,0,5.7783494082e-08,0,0.011249701743,0,0,0,0,0,0,0,0,0,40956,45929,17864,20251,29299,33216,29521,32964,3,0,3,-1,862,1510,0,2,0,0,6h 48m 41s,6h 42m 10.560s,6m 21.403s,523d 2h 51s,143.79887881,124.99985137,287.49990249,-0.097597509811,250.82331358,-1.0027252156
41,0.1504,461.38994675,0.00010143753877,461.38995571,-8.961275114e-06,0.003691119574,8.1150031009e-10,0.0036911196457,-7.1690201085e-11,0,0,0.19438909669,1.2845784453e-06,0,9.5075202974e-05,0,0,9.5015602339e-05,0,5.9600634778e-08,0,0.011260926255,0,0,0,0,0,0,0,0,0,40974,45918,17866,20242,29312,33200,29528,32960,3,0,3,-1,726,1386,0,2,0,0,6h 57m 1s,6h 50m 29.798s,6m 21.403s,522d 6h 13m 21s,143.80012881,124.99985137,287.50244225,-0.097557749437,250.82338361,-1.0027028712
