feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
es_over_dg2,Delta E_S/(V0 Delta gamma^2),957.8475185717133,90722,394183,7.355538683029295e-06,lower,0.6002548823661278,0.39974511763387216,0.6002548823661278,0.2692124672852724,0.7307875327147276,0.2692124672852724,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,2.2121415367773176e-13,73481,411424,2.8679659068941987e-05,lower,0.5911961017082463,0.4088038982917536,0.5911961017082463,0.24843365849789834,0.7515663415021017,0.24843365849789834,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
ei,abs(Delta E_I)/V0,3.350912494605211e-07,142375,342530,4.490898472653271e-06,lower,0.5833726093218943,0.4166273906781058,0.5833726093218943,0.33773495122531527,0.6622650487746847,0.33773495122531527,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),0.06701824989210421,142375,342530,4.490898472653271e-06,lower,0.5833726093218943,0.4166273906781058,0.5833726093218943,0.33773495122531527,0.6622650487746847,0.33773495122531527,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),13403.64997842084,142375,342530,4.490898472653271e-06,lower,0.5833726093218943,0.4166273906781058,0.5833726093218943,0.33773495122531527,0.6622650487746847,0.33773495122531527,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_s,abs(Delta sigma_S),4.434367494534384e-06,9699,475206,1.1469554967113993e-05,lower,0.5151062666999165,0.4848937333000834,0.5151062666999165,0.11039733523673566,0.8896026647632643,0.11039733523673566,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,0.8868734989068766,9699,475206,1.1469554967544204e-05,lower,0.5151062666999165,0.4848937333000834,0.5151062666999165,0.11039733523673566,0.8896026647632643,0.11039733523673566,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),1.245621796991587,475206,9699,6.557024316636295e-06,higher,0.49177033393634423,0.5082296660636557,0.5082296660636557,0.8915853755254184,0.10841462447458165,0.10841462447458165,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,3.3060467320777233e-07,141201,343704,7.884204777042214e-06,higher,0.4937745779787408,0.5062254220212592,0.5062254220212592,0.3218732651280831,0.6781267348719169,0.6781267348719169,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er,abs(Delta E_R)/V0,1.4352517251264557e-10,249018,5083,1.84430218723719e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),1.4352517251264557e-05,249018,5083,1.84430218723719e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),1.4352517251264556,249018,5083,1.844302187206659e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,3.109587074172015e-15,249018,5083,5.390797401361169e-06,lower,0.9881716356228964,0.011828364377103603,0.9881716356228964,0.9793806703156632,0.020619329684336808,0.9793806703156632,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,2.0539764291965548e-15,249018,5083,2.2335174149290538e-05,lower,0.9879071541391287,0.012092845860871318,0.9879071541391287,0.9779560620829272,0.022043937917072806,0.9779560620829272,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_i,abs(Delta sigma_I),2.047792699999268e-05,249018,5083,8.483170539363982e-07,lower,0.9852816947949068,0.01471830520509325,0.9852816947949068,0.9917147784359301,0.00828522156406988,0.9917147784359301,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,2.047792699999268,249018,5083,8.48317053103731e-07,lower,0.9852816947949068,0.01471830520509325,0.9852816947949068,0.9917147784359301,0.00828522156406988,0.9917147784359301,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r,abs(Delta sigma_R),1.4426732911998488e-05,249018,5083,3.977268256960542e-07,lower,0.9826805823945919,0.0173194176054081,0.9826805823945919,0.9752193146884607,0.024780685311539326,0.9752193146884607,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,1.4426732911998488,249018,5083,3.9772682633443246e-07,lower,0.9826805823945919,0.0173194176054081,0.9826805823945919,0.9752193146884607,0.024780685311539326,0.9752193146884607,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.0002216107787342055,221486,32615,4.8565773334896534e-05,lower,0.9345558289155728,0.06544417108442727,0.9345558289155728,0.8786458723850941,0.1213541276149059,0.8786458723850941,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.00020833893824748824,219626,34475,9.298894514842004e-05,lower,0.9309305973035531,0.06906940269644692,0.9309305973035531,0.8718977281247657,0.12810227187523432,0.8718977281247657,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.6415448061509929,224423,29678,4.929847109852448e-05,lower,0.9118696212217118,0.08813037877828823,0.9118696212217118,0.8476044087875834,0.15239559121241658,0.8476044087875834,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_over_es,abs(Delta E_R)/Delta E_S,0.0013940680880540756,205220,48881,4.212558754090878e-05,lower,0.9101170553982123,0.08988294460178775,0.9101170553982123,0.8336207542925695,0.16637924570743046,0.8336207542925695,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),1.1881559291359813,109925,144176,2.5258388209048466e-06,lower,0.760478558472597,0.239521441527403,0.760478558472597,0.59143735472745,0.40856264527255004,0.59143735472745,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.841640373521675,144176,109925,2.52583882082158e-06,higher,0.239521441527403,0.760478558472597,0.760478558472597,0.40856264527255004,0.59143735472745,0.59143735472745,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.5346114286595379,148706,105395,1.6483712185211274e-06,lower,0.7227138546622153,0.27728614533778473,0.7227138546622153,0.4922396341006223,0.5077603658993777,0.4922396341006223,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.3322007135737094,136175,117926,4.2249740665467606e-06,lower,0.6975963964604905,0.30240360353950946,0.6975963964604905,0.44455274799430156,0.5554472520056984,0.44455274799430156,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,1.8110094641335543e-12,81536,172565,8.393120053185044e-06,lower,0.6599475640501178,0.3400524359498822,0.6599475640501178,0.3791332383594512,0.6208667616405489,0.3791332383594512,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
ei_over_es,abs(Delta E_I)/Delta E_S,9.931880691423402,158048,96053,1.1427632895189e-05,higher,0.3460960144074621,0.6539039855925379,0.6539039855925379,0.6255904626227787,0.37440953737722127,0.37440953737722127,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,7.865299309351351e-08,73709,180392,1.2734631084754255e-05,lower,0.6248561633994245,0.37514383660057554,0.6248561633994245,0.3077528679613106,0.6922471320386894,0.3077528679613106,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
es,Delta E_S/V0,7.711293167740922e-08,71962,182139,6.51636987658577e-06,lower,0.6156524736843758,0.38434752631562424,0.6156524736843758,0.30134213091399864,0.6986578690860014,0.30134213091399864,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
es_over_dg,Delta E_S/(V0 Delta gamma),0.007711293167740922,71962,182139,6.516369876141681e-06,lower,0.6156524736843758,0.38434752631562424,0.6156524736843758,0.30134213091399864,0.6986578690860014,0.30134213091399864,ok,1e-05,load_increment,4,254101,26674,24826,1848,0,227427
