feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.0001370265765640707,128024,57919,3.970825784049836e-05,lower,0.806904699396167,0.19309530060383304,0.806904699396167,0.6522869637158728,0.3477130362841272,0.6522869637158728,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),67.15444108065627,43234,142709,1.91955342541128e-05,higher,0.19604361524976588,0.803956384750234,0.803956384750234,0.20009455147145727,0.7999054485285427,0.7999054485285427,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.014891047917425798,142709,43234,1.91955342541128e-05,lower,0.803956384750234,0.19604361524976588,0.803956384750234,0.7999054485285427,0.20009455147145727,0.7999054485285427,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.00013040208483671166,125452,60491,2.7986837178417545e-05,lower,0.8005381990023628,0.19946180099763716,0.8005381990023628,0.6408225978016783,0.3591774021983217,0.6408225978016783,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),10.951846226738795,182094,3849,0.0003394530989104805,lower,0.7624555160142349,0.23754448398576514,0.7624555160142349,0.9526651696017019,0.047334830398298076,0.9526651696017019,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.09130880577546027,3849,182094,0.0003394530989104805,higher,0.23754448398576514,0.7624555160142349,0.7624555160142349,0.047334830398298076,0.9526651696017019,0.9526651696017019,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,1.2342142430611147e-12,56394,129549,3.8119028623384565e-05,lower,0.667049687525985,0.33295031247401496,0.667049687525985,0.40899420872237324,0.5910057912776268,0.40899420872237324,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
ei_over_es,abs(Delta E_I)/Delta E_S,15.848916283469832,119542,66401,1.0058915823396575e-05,higher,0.3352047983999935,0.6647952016000065,0.6647952016000065,0.5860418390261198,0.41395816097388016,0.41395816097388016,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6.825391252909311e-07,64052,121891,2.5264714223816043e-05,lower,0.6643666339975839,0.33563336600241606,0.6643666339975839,0.4397825316156483,0.5602174683843517,0.4397825316156483,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,9.016390470517871e-12,48996,136947,4.160329046243305e-05,lower,0.6584895080546885,0.3415104919453115,0.6584895080546885,0.4045030138281527,0.5954969861718473,0.4045030138281527,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,4.7200211940782835e-08,49692,136251,2.1395237994603633e-05,lower,0.6341414649140591,0.36585853508594085,0.6341414649140591,0.34688571090887604,0.653114289091124,0.34688571090887604,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
es,Delta E_S/V0,4.586249088788787e-08,48076,137867,1.8847437507574227e-05,lower,0.6250002335730416,0.3749997664269584,0.6250002335730416,0.3375487531024702,0.6624512468975299,0.3375487531024702,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
es_over_dg,Delta E_S/(V0 Delta gamma),0.004586249088788787,48076,137867,1.8847437508018317e-05,lower,0.6250002335730416,0.3749997664269584,0.6250002335730416,0.3375487531024702,0.6624512468975299,0.3375487531024702,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
