size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
100,pre,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,2755,14323.498344672258,2006,749,0.0032554100331125824,ok
100,pre,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,2755,14294.51779868436,2338,417,0.004066265355565868,ok
100,pre,sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),6,2755,6.981534649822179e-05,749,2006,0.0032554100331125824,ok
100,pre,sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),6,2755,6.995688935320632e-05,417,2338,0.004066265355565868,ok
100,post,er,abs(Delta E_R)/V0,6,697,3.740446961241221e-05,344,353,0.009057848568238214,ok
100,post,es,Delta E_S/V0,6,697,2.402211531672306e-05,294,403,0.012077299255643936,ok
100,post,ei,abs(Delta E_I)/V0,6,697,2.401987357808983e-05,294,403,0.012175714367928414,ok
100,post,sigma_r,abs(Delta sigma_R),6,697,3.056145629484363e-05,256,441,0.006341347775483008,ok
100,post,sigma_i,abs(Delta sigma_I),6,697,3.0583293121293285e-05,256,441,0.007773954083901913,ok
100,post,sigma_s,abs(Delta sigma_S),6,697,3.733330041731214e-05,286,411,0.006085748359987875,ok
100,post,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,697,3.74044696123748,344,353,0.009057848568238547,ok
100,post,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,697,374044.696123374,344,353,0.009057848568238214,ok
100,post,es_over_dg,Delta E_S/(V0 Delta gamma),6,697,2.4022115316699035,294,403,0.012077299255643548,ok
100,post,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,697,240221.15316675013,294,403,0.012077299255643936,ok
100,post,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,697,2.401987357806581,294,403,0.01217571436792858,ok
100,post,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,697,240198.7357804179,294,403,0.012175714367928414,ok
100,post,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,697,3.0561456294813065,256,441,0.006341347775483286,ok
100,post,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,697,3.05832931212627,256,441,0.007773954083902024,ok
100,post,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,697,3.7333300417274806,286,411,0.006085748359988319,ok
100,post,er_over_es,abs(Delta E_R)/Delta E_S,6,697,2.0937868754432385,647,50,0.011599175491118274,ok
100,post,ei_over_es,abs(Delta E_I)/Delta E_S,6,697,1.0057043744206757,683,14,0.0010343360851572756,ok
100,post,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,697,0.3897548478038887,65,632,0.017092921768901093,ok
100,post,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,697,0.4036204769434147,67,630,0.015566816277977236,ok
100,post,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,697,0.9802456093245956,14,683,0.0009355204443311331,ok
100,post,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,697,2.040711213234551,646,51,0.01323382184790467,ok
100,post,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,697,0.616055915255402,619,78,0.006416536494446373,ok
100,post,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,697,0.49501206445343143,14,683,0.0004724264702483105,ok
100,post,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,697,6.635766272638594e-05,335,362,0.006168344262495573,ok
100,post,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,697,1.1140327512400959e-06,297,400,0.0002821115796649565,ok
100,post,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,697,6.63620447052882e-05,335,362,0.0061589758104627634,ok
100,post,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,697,1.5548284355146052e-09,347,350,0.0058158778635597486,ok
100,post,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,697,1.568294651090382e-09,335,362,0.013594439752981913,ok
100,post,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,697,1.0944814444479306e-09,323,374,0.017574560037710185,ok
100,post,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,697,1.1105168625321908e-09,314,383,0.004845840304177784,ok
100,post,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,697,70448.11311678363,527,170,0.006728901063445036,ok
100,post,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,697,38311.215911853535,498,199,0.008636219058881345,ok
100,post,sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),6,697,1.4194844343698383e-05,170,527,0.006728901063445036,ok
100,post,sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),6,697,2.610201676451096e-05,199,498,0.008636219058881345,ok
150,pre,er,abs(Delta E_R)/V0,6,1814,5.578007811251512e-08,425,1389,0.36743700206605645,ok
150,pre,es,Delta E_S/V0,6,1814,9.369205566958071e-07,613,1201,0.005011129069592002,ok
150,pre,ei,abs(Delta E_I)/V0,6,1814,1.1427546157147176e-06,639,1175,0.009819774977382068,ok
150,pre,sigma_r,abs(Delta sigma_R),6,1814,1.3549697154133816e-06,483,1331,0.021023944470336176,ok
150,pre,sigma_i,abs(Delta sigma_I),6,1814,1.5156596093427985e-06,490,1324,0.0068778889822089795,ok
150,pre,sigma_s,abs(Delta sigma_S),6,1814,1.1103983124965794e-05,835,979,0.003208463487071711,ok
150,pre,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,1814,0.0055780078112459336,425,1389,0.36743700206605645,ok
