t,W_less_mesh_locking,W_mesh_locking,W_double_triangle_edge_flip,W_single_triangle_edge_flip,abs_delta_W_mesh_locking,abs_delta_W_double_triangle_edge_flip,abs_delta_W_single_triangle_edge_flip
0.747,0.28177369182000001,0.27573120102999998,0.27573120102999998,0.28245108211999997,0.0060424907900000213,0.0060424907900000213,0.00067739029999996925
0.748,0.27982107138000001,0.27386523622999998,0.27386523622999998,0.28049997222,0.0059558351500000328,0.0059558351500000328,0.00067890083999999629
0.749,0.27787302890999999,0.27200386380000002,0.27200386380000002,0.27855338035999999,0.0058691651099999631,0.0058691651099999631,0.00068035145000000519
0.75,0.27592958762000003,0.27014709739999998,0.27014709739999998,0.27661132953000001,0.0057824902200000472,0.0057824902200000472,0.00068174190999997775
0.751,0.27399077080000001,0.26829495071999998,0.26829495071999998,0.27467384268,0.0056958200800000247,0.0056958200800000247,0.00068307187999999686
0.752,0.27205660171000001,0.26644743736999998,0.26644743736999998,0.27274094302000002,0.0056091643400000279,0.0056091643400000279,0.00068434131000000287
0.753,0.27012710368999998,0.26460457099000001,0.26460457099000001,0.27081265355,0.0055225326999999713,0.0055225326999999713,0.00068554986000002316
0.754,0.26820230013000002,0.26276636521000002,0.26276636521000002,0.2688889975,0.0054359349199999962,0.0054359349199999962,0.00068669736999998898
0.755,0.26628221431999999,0.26093283362000003,0.26093283362000003,0.26696999811,0.0053493806999999616,0.0053493806999999616,0.00068778379000000722
0.75600000000000001,0.26436686979000001,0.25910398976999999,0.25910398976999999,0.26505567864000001,0.005262880020000027,0.005262880020000027,0.00068880885000000003
0.75700000000000001,0.26245628994999998,0.25727984734999998,0.25727984734999998,0.26314606237999999,0.0051764425999999975,0.0051764425999999975,0.00068977243000001298
0.75800000000000001,0.26055049830999999,0.25546041996000002,0.25546041996000002,0.26124117271000002,0.0050900783499999713,0.0050900783499999713,0.00069067440000003533
0.75900000000000001,0.25864951843,0.25364572121000001,0.25364572121000001,0.25934103301,0.0050037972199999947,0.0050037972199999947,0.00069151457999999666
0.76000000000000001,0.25675337374000001,0.25183576472000002,0.25183576472000002,0.25744566676000002,0.0049176090199999911,0.0049176090199999911,0.00069229302000001214
0.76100000000000001,0.25486208794999998,0.25003056408000002,0.25003056408000002,0.25555509747999999,0.0048315238699999652,0.0048315238699999652,0.00069300953000001053
0.76200000000000001,0.25297568467999998,0.24823013295999999,0.24823013295999999,0.25366934866000002,0.0047455517199999908,0.0047455517199999908,0.0006936639800000366
0.76300000000000001,0.25109418760000002,0.24643448497000001,0.24643448497000001,0.25178844389999999,0.0046597026300000122,0.0046597026300000122,0.00069425629999997351
0.76400000000000001,0.24921762023999999,0.24464363379000001,0.24464363379000001,0.24991240687999999,0.0045739864499999838,0.0045739864499999838,0.00069478664000000023
0.76500000000000001,0.24734600647999999,0.24285759308999999,0.24285759308999999,0.24804126125000001,0.0044884133900000012,0.0044884133900000012,0.00069525477000001445
0.76600000000000001,0.24547937007000001,0.24107637647999999,0.24107637647999999,0.24617503075,0.004402993590000015,0.004402993590000015,0.0006956606799999876
0.76700000000000002,0.24361773478000001,0.23929999772999999,0.23929999772999999,0.24431373914000001,0.0043177370500000201,0.0043177370500000201,0.0006960043600000021
0.76800000000000002,0.24176112442,0.23752847051000001,0.23752847051000001,0.24245741025000001,0.0042326539099999949,0.0042326539099999949,0.0006962858300000041
0.76900000000000002,0.23990956286000001,0.23576180856000001,0.23576180856000001,0.24060606795,0.0041477543000000006,0.0041477543000000006,0.00069650508999999361
0.77000000000000002,0.23806307400000001,0.23400002564,0.23400002564,0.23875973616999999,0.0040630483600000156,0.0040630483600000156,0.0006966621699999731
