scenario,window,window_start,reference_shear,reconnection,local_load,absolute_load,energy_mean,median_max_abs_eigenvalue,median_min_abs_eigenvalue,median_condition,p90_condition
current geometry,5-6,5.0,0.0,without reconnection,0.7,5.7,0.036803,492.384347418806,0.0006293460394475924,782374.5865644844,226175630.9788188
current geometry,5-6,5.0,0.0,without reconnection,0.8,5.8,0.025144,518.4743437591773,0.0012853950857079168,403357.9632628153,115992654.29807691
current geometry,5-6,5.0,0.0,without reconnection,0.9,5.9,0.0097604,542.6267399660719,0.0012767154316072062,425017.7655352538,122452941.05789879
current geometry,10-11,10.0,0.0,without reconnection,0.1,10.1,0.0097604,1662.0947082978655,0.00046510250816401576,3573609.428293466,1059685020.2464002
current geometry,10-11,10.0,0.0,without reconnection,0.2,10.2,0.025144,1655.7658498520595,0.000444838727869469,3722171.0838493323,1113386673.5292025
current geometry,10-11,10.0,0.0,without reconnection,0.3,10.3,0.036803,1648.5513997552966,0.00020126878619305908,8190795.159732265,2433413181.5193214
current geometry,10-11,10.0,0.0,without reconnection,0.4,10.4,0.043232999999999994,1656.1179308399437,3.205587383054414e-05,51663477.950862385,15131397359.182734
current geometry,10-11,10.0,0.0,without reconnection,0.5,10.5,0.04521,1688.4205660830207,2.0419508281078602e-05,82686641.75657783,23781103657.939743
current geometry,10-11,10.0,0.0,without reconnection,0.6,10.6,0.043232999999999994,1745.2330558176027,2.98761349946379e-05,58415623.57817814,16521400131.318258
current geometry,10-11,10.0,0.0,without reconnection,0.7,10.7,0.036803,1816.3866396754468,0.0001757438843972723,10335418.759548247,2891621556.208685
current geometry,10-11,10.0,0.0,without reconnection,0.8,10.8,0.025144,1885.8293187057798,0.00036668163473398195,5142960.923237675,1433175088.5067794
current geometry,10-11,10.0,0.0,without reconnection,0.9,10.9,0.0097604,1940.1376043779417,0.0003696671600636729,5248336.379254692,1467088642.513884
distorted reference,0-1,0.0,0.0,with reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418,1531.2772475333418
distorted reference,0-1,0.0,0.0,with reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,1449.9950118755605
distorted reference,0-1,0.0,0.0,with reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409,3965.3902560856154
distorted reference,0-1,0.0,0.0,with reconnection,0.4,0.4,0.043232999999999994,28.142913233590086,0.0016515194555077215,17040.61864953216,42392.93920022676
distorted reference,0-1,0.0,0.0,with reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552,124634.23762756104
distorted reference,0-1,0.0,0.0,with reconnection,0.6,0.6,0.043232999999999994,28.14291323359008,0.0016515194555095248,17040.618649513555,158799.91200028744
distorted reference,0-1,0.0,0.0,with reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357,47550.34613631947
distorted reference,0-1,0.0,0.0,with reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633,37673.644428435255
distorted reference,0-1,0.0,0.0,with reconnection,0.9,0.9,0.0097604,30.6079453898079,0.019988506613751345,1531.2772475333786,58781.48349362768
distorted reference,0-1,0.0,0.0,without reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418,1531.2772475333418
distorted reference,0-1,0.0,0.0,without reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,1449.9950118755605
distorted reference,0-1,0.0,0.0,without reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409,3965.3902560856154
distorted reference,0-1,0.0,0.0,without reconnection,0.4,0.4,0.043232999999999994,28.142913233590086,0.0016515194555077215,17040.61864953216,42392.93920022676
distorted reference,0-1,0.0,0.0,without reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552,124634.23762756104
distorted reference,0-1,0.0,0.0,without reconnection,0.6,0.6,0.043232999999999994,28.14291323359008,0.0016515194555095248,17040.618649513555,158799.91200028744
distorted reference,0-1,0.0,0.0,without reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357,47550.34613631947
distorted reference,0-1,0.0,0.0,without reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633,37673.644428435255
distorted reference,0-1,0.0,0.0,without reconnection,0.9,0.9,0.0097604,30.6079453898079,0.019988506613751345,1531.2772475333786,58781.48349362768
distorted reference,5-6,5.0,5.0,without reconnection,0.1,0.1,0.0097604,30.607945389806005,0.0199885066137662,1531.277247532146,22723431.1477394
distorted reference,5-6,5.0,5.0,without reconnection,0.2,0.2,0.025144,29.098057336059128,0.02006769478354221,1449.9950118796326,20777382.5487865
distorted reference,5-6,5.0,5.0,without reconnection,0.3,0.3,0.036803,28.46483434895209,0.00968864505774379,2937.9582159634547,38950157.72178213
distorted reference,5-6,5.0,5.0,without reconnection,0.4,0.4,0.043232999999999994,28.142913233591813,0.0016515194555077376,17040.618649533044,205274409.3949959
distorted reference,5-6,5.0,5.0,without reconnection,0.5,0.5,0.04521,28.037984734442865,0.0011116370654315711,25222.247086154566,270629679.01967
distorted reference,5-6,5.0,5.0,without reconnection,0.6,0.6,0.043232999999999994,28.14291323359241,0.0016515194555165125,17040.618649442866,157011336.88935205
distorted reference,5-6,5.0,5.0,without reconnection,0.7,0.7,0.036803,28.464834348949097,0.009688645057733355,2937.95821596631,22998904.404067427
distorted reference,5-6,5.0,5.0,without reconnection,0.8,0.8,0.025144,29.098057336058545,0.02006769478356691,1449.9950118778147,9597186.885826398
distorted reference,5-6,5.0,5.0,without reconnection,0.9,0.9,0.0097604,30.60794538980958,0.019988506613703754,1531.2772475371023,8390352.07869867
distorted reference,5-6,5.0,5.0,with reconnection,0.1,0.1,0.0097604,30.607945389806005,0.0199885066137662,1531.277247532146,22723431.1477394
distorted reference,5-6,5.0,5.0,with reconnection,0.2,0.2,0.025144,29.098057336059128,0.02006769478354221,1449.9950118796326,20777382.5487865
distorted reference,5-6,5.0,5.0,with reconnection,0.3,0.3,0.036803,28.46483434895209,0.00968864505774379,2937.9582159634547,38950157.72178213
distorted reference,5-6,5.0,5.0,with reconnection,0.4,0.4,0.043232999999999994,28.142913233591813,0.0016515194555077376,17040.618649533044,205274409.3949959
distorted reference,5-6,5.0,5.0,with reconnection,0.5,0.5,0.04521,28.037984734442865,0.0011116370654315711,25222.247086154566,270629679.01967
distorted reference,5-6,5.0,5.0,with reconnection,0.6,0.6,0.043232999999999994,28.14291323359241,0.0016515194555165125,17040.618649442866,157011336.88935205
distorted reference,5-6,5.0,5.0,with reconnection,0.7,0.7,0.036803,28.464834348949097,0.009688645057733355,2937.95821596631,22998904.404067427
distorted reference,5-6,5.0,5.0,with reconnection,0.8,0.8,0.025144,29.098057336058545,0.02006769478356691,1449.9950118778147,9597186.885826398
distorted reference,5-6,5.0,5.0,with reconnection,0.9,0.9,0.0097604,30.60794538980958,0.019988506613703754,1531.2772475371023,8390352.07869867
distorted reference,10-11,10.0,10.0,without reconnection,0.1,0.1,0.0097604,30.60794538979775,0.019988506613590522,1531.2772475451914,350875697.21849406
distorted reference,10-11,10.0,10.0,without reconnection,0.2,0.2,0.025144,29.098057336048463,0.020067694783704786,1449.9950118673542,337544570.2458676
distorted reference,10-11,10.0,10.0,without reconnection,0.3,0.3,0.036803,28.464834348941814,0.009688645057486294,2937.9582160404766,669573566.2564687
distorted reference,10-11,10.0,10.0,without reconnection,0.4,0.4,0.043232999999999994,28.14291323357369,0.00165151945567671,17040.61864777859,3755858882.215665
distorted reference,10-11,10.0,10.0,without reconnection,0.5,0.5,0.04521,28.037984734490976,0.0011116370655371835,25222.247083801583,5300912470.176936
distorted reference,10-11,10.0,10.0,without reconnection,0.6,0.6,0.043232999999999994,28.14291323354146,0.0016515194553605077,17040.618651021687,3305133522.7160845
distorted reference,10-11,10.0,10.0,without reconnection,0.7,0.7,0.036803,28.46483434895113,0.009688645057699426,2937.9582159768083,520944949.001165
distorted reference,10-11,10.0,10.0,without reconnection,0.8,0.8,0.025144,29.098057336064755,0.0200676947836105,1449.9950118749737,233755609.02865082
distorted reference,10-11,10.0,10.0,without reconnection,0.9,0.9,0.0097604,30.607945389759053,0.01998850661403312,1531.277247509349,218538800.86649433
distorted reference,10-11,10.0,10.0,with reconnection,0.1,0.1,0.0097604,30.60794538979775,0.019988506613590522,1531.2772475451914,350875697.21849406
distorted reference,10-11,10.0,10.0,with reconnection,0.2,0.2,0.025144,29.098057336048463,0.020067694783704786,1449.9950118673542,337544570.2458676
distorted reference,10-11,10.0,10.0,with reconnection,0.3,0.3,0.036803,28.464834348941814,0.009688645057486294,2937.9582160404766,669573566.2564687
distorted reference,10-11,10.0,10.0,with reconnection,0.4,0.4,0.043232999999999994,28.14291323357369,0.00165151945567671,17040.61864777859,3755858882.215665
distorted reference,10-11,10.0,10.0,with reconnection,0.5,0.5,0.04521,28.037984734490976,0.0011116370655371835,25222.247083801583,5300912470.176936
distorted reference,10-11,10.0,10.0,with reconnection,0.6,0.6,0.043232999999999994,28.14291323354146,0.0016515194553605077,17040.618651021687,3305133522.7160845
distorted reference,10-11,10.0,10.0,with reconnection,0.7,0.7,0.036803,28.46483434895113,0.009688645057699426,2937.9582159768083,520944949.001165
distorted reference,10-11,10.0,10.0,with reconnection,0.8,0.8,0.025144,29.098057336064755,0.0200676947836105,1449.9950118749737,233755609.02865082
distorted reference,10-11,10.0,10.0,with reconnection,0.9,0.9,0.0097604,30.607945389759053,0.01998850661403312,1531.277247509349,218538800.86649433
