label,load,energy_mean,median_max_abs_eigenvalue,median_condition
"simple shear, no reconnection",2.5,0.04521,91.41765516741573,258207.03096655203
"simple shear, no reconnection",2.6,0.043232999999999994,99.95163987902279,209943.41074935958
"simple shear, no reconnection",2.7,0.036803,108.7011354262943,41650.72734923699
"simple shear, no reconnection",2.8,0.025144,117.60650436986043,22832.676117670777
"simple shear, no reconnection",2.9,0.0097604,129.01100141607083,25891.947527953373
"simple shear, no reconnection",3.0,-1.7269833333333334e-16,157.29456412650413,3397143269155716.5
"simple shear, no reconnection",3.1,0.0097604,148.42556817191857,26846.977121303753
"simple shear, no reconnection",3.2,0.025144,148.5278896661457,29153.376097905377
"simple shear, no reconnection",3.3,0.036803,153.41805356394173,71232.30697907895
"simple shear, no reconnection",3.4,0.043232999999999994,162.1980599181058,505759.5083993257
"simple shear, no reconnection",3.5,0.04521,174.0869484897391,910202.7161657755
"simple shear, no reconnection",3.6,0.043232999999999994,187.88845699052712,714072.3923249737
"simple shear, no reconnection",3.7,0.036803,202.2239099652004,137605.974923413
"simple shear, no reconnection",3.8,0.025144,216.1464016299421,73467.40020454495
"simple shear, no reconnection",3.9,0.0097604,231.4760244266757,80401.02018485266
"simple shear, no reconnection",4.0,-2.2204e-16,266.64562760887486,1.5856482421610694e+16
"simple shear, no reconnection",4.1,0.0097604,258.3955729469922,82569.30795482818
"simple shear, no reconnection",4.2,0.025144,258.72246414696036,88719.63225641694
"simple shear, no reconnection",4.3,0.036803,264.0891979968198,209679.92137617723
"simple shear, no reconnection",4.4,0.043232999999999994,274.7098376164995,1435426.552183399
"simple shear, no reconnection",4.5,0.04521,290.374332214869,2495348.680556002
"simple shear, no reconnection",4.6,0.043232999999999994,309.6291584839059,1899678.0501982837
"simple shear, no reconnection",4.7,0.036803,330.1746261828487,357384.66759317514
"simple shear, no reconnection",4.8,0.025144,349.81542870308664,186984.03917226085
"simple shear, no reconnection",4.9,0.0097604,369.348680439278,200012.50791564916
"simple shear, no reconnection",5.0,-1.7269777777777778e-16,410.17900948424756,1.7449259793669138e+16
"simple shear, no reconnection",5.1,0.0097604,403.79839949000404,204225.05571829792
"simple shear, no reconnection",5.2,0.025144,404.09275281006245,217570.383343402
"simple shear, no reconnection",5.3,0.036803,409.205710270836,502621.3545382159
"simple shear, no reconnection",5.4,0.043232999999999994,420.9587179187206,3353795.600921112
"simple shear, no reconnection",5.5,0.04521,440.0757030502279,5685770.3849331075
"simple shear, no reconnection",5.6,0.043232999999999994,464.9972710368192,4233715.472932221
"simple shear, no reconnection",5.7,0.036803,492.38434741880576,782374.5865644844
"simple shear, no reconnection",5.8,0.025144,518.4743437591773,403357.9632628153
"simple shear, no reconnection",5.9,0.0097604,542.6267399660719,425017.7655352538
"simple shear, no reconnection",6.0,-1.4802666666666669e-16,588.4951724002724,2.579456599216738e+16
"simple shear, no reconnection",6.1,0.0097604,584.6248287340006,432343.10724921274
"simple shear, no reconnection",6.2,0.025144,584.5001337736646,457512.2551189937
"simple shear, no reconnection",6.3,0.036803,588.6248483109564,1040211.9168863834
"simple shear, no reconnection",6.4,0.043232999999999994,600.8405836132008,6815630.483658194
"simple shear, no reconnection",6.5,0.04521,623.1232549131714,11345681.626349783
"simple shear, no reconnection",6.6,0.043232999999999994,653.9409182579969,8310891.6516031325
"simple shear, no reconnection",6.7,0.036803,688.8050499843791,1515413.7361844475
"simple shear, no reconnection",6.8,0.025144,722.0827510961318,772790.2666812374
"simple shear, no reconnection",6.9,0.0097604,751.3114843044016,805810.9055451292
"simple shear, no reconnection",7.0,-7.401333333333334e-17,801.8928548184115,5555220479461413.0
"simple shear, no reconnection",7.1,0.0097604,800.869874278808,817555.0530488156
"simple shear, no reconnection",7.2,0.025144,799.8902692218323,860576.4400245481
"simple shear, no reconnection",7.3,0.036803,802.2894669349726,1934054.0907075403
"simple shear, no reconnection",7.4,0.043232999999999994,814.3129213138233,12503428.91689254
"simple shear, no reconnection",7.5,0.04521,839.4906369025205,20531361.277036104
"simple shear, no reconnection",7.6,0.043232999999999994,876.4418586879232,14853644.851589467
"simple shear, no reconnection",7.7,0.036803,919.4203519215235,2680786.234451869
"simple shear, no reconnection",7.8,0.025144,960.6265996031051,1355706.1331697921
"simple shear, no reconnection",7.9,0.0097604,995.4041737520495,1402888.6808614274
