scenario,integer_shear,reconnection,local_load,absolute_load,energy,max_abs_eigenvalue,min_abs_eigenvalue,tangent_condition
distorted reference,0,no reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted reference,0,no reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted reference,0,no reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted reference,0,no reconnection,0.4,0.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted reference,0,no reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted reference,0,no reconnection,0.6,0.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted reference,0,no reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted reference,0,no reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted reference,0,no reconnection,0.9,0.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted reference,2,edge flip,0.1,0.1,0.0097604,30.607945389807917,0.019988506613748423,1531.2772475336035
distorted reference,2,edge flip,0.2,0.2,0.025144,29.09805733605678,0.020067694783594613,1449.9950118757292
distorted reference,2,edge flip,0.3,0.3,0.036803,28.464834348954447,0.009688645057729374,2937.9582159680695
distorted reference,2,edge flip,0.4,0.4,0.043233,28.14291323359005,0.001651519455507067,17040.618649538897
distorted reference,2,edge flip,0.5,0.5,0.04521,28.037984734443768,0.0011116370654498057,25222.247085741656
distorted reference,2,edge flip,0.6,0.6,0.043233,28.142913233590065,0.001651519455505049,17040.61864955973
distorted reference,2,edge flip,0.7,0.7,0.036803,28.464834348954497,0.009688645057723596,2937.958215969827
distorted reference,2,edge flip,0.8,0.8,0.025144,29.098057336056826,0.02006769478360042,1449.9950118753118
distorted reference,2,edge flip,0.9,0.9,0.0097604,30.607945389807863,0.019988506613752625,1531.277247533279
distorted reference,2,no reconnection,0.1,0.1,0.0097604,30.607945389807917,0.019988506613748423,1531.2772475336035
distorted reference,2,no reconnection,0.2,0.2,0.025144,29.09805733605678,0.020067694783594613,1449.9950118757292
distorted reference,2,no reconnection,0.3,0.3,0.036803,28.464834348954447,0.009688645057729374,2937.9582159680695
distorted reference,2,no reconnection,0.4,0.4,0.043233,28.14291323359005,0.001651519455507067,17040.618649538897
distorted reference,2,no reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654498057,25222.247085741656
distorted reference,2,no reconnection,0.6,0.6,0.043233,28.142913233590065,0.001651519455505049,17040.61864955973
distorted reference,2,no reconnection,0.7,0.7,0.036803,28.464834348954497,0.009688645057723596,2937.958215969827
distorted reference,2,no reconnection,0.8,0.8,0.025144,29.098057336056826,0.02006769478360042,1449.9950118753118
distorted reference,2,no reconnection,0.9,0.9,0.0097604,30.607945389807863,0.019988506613752625,1531.277247533279
distorted reference,5,edge flip,0.1,0.1,0.0097604,30.607945389806005,0.0199885066137662,1531.277247532146
distorted reference,5,edge flip,0.2,0.2,0.025144,29.098057336059128,0.02006769478354221,1449.9950118796326
distorted reference,5,edge flip,0.3,0.3,0.036803,28.46483434895209,0.00968864505774379,2937.9582159634547
distorted reference,5,edge flip,0.4,0.4,0.043233,28.142913233591813,0.0016515194555077376,17040.618649533044
distorted reference,5,edge flip,0.5,0.5,0.04521,28.037984734442865,0.0011116370654396964,25222.24708597022
distorted reference,5,edge flip,0.6,0.6,0.043233,28.14291323359241,0.0016515194555165125,17040.618649442866
distorted reference,5,edge flip,0.7,0.7,0.036803,28.464834348949097,0.009688645057733355,2937.95821596631
distorted reference,5,edge flip,0.8,0.8,0.025144,29.098057336058545,0.020067694783584354,1449.9950118765585
distorted reference,5,edge flip,0.9,0.9,0.0097604,30.60794538980958,0.019988506613722836,1531.277247535647
distorted reference,5,no reconnection,0.1,0.1,0.0097604,30.607945389806005,0.0199885066137662,1531.277247532146
distorted reference,5,no reconnection,0.2,0.2,0.025144,29.098057336059128,0.02006769478354221,1449.9950118796326
distorted reference,5,no reconnection,0.3,0.3,0.036803,28.46483434895209,0.00968864505774379,2937.9582159634547
distorted reference,5,no reconnection,0.4,0.4,0.043233,28.142913233591813,0.0016515194555077376,17040.618649533044
distorted reference,5,no reconnection,0.5,0.5,0.04521,28.037984734442865,0.0011116370654396964,25222.24708597022
distorted reference,5,no reconnection,0.6,0.6,0.043233,28.14291323359241,0.0016515194555165125,17040.618649442866
distorted reference,5,no reconnection,0.7,0.7,0.036803,28.464834348949097,0.009688645057733355,2937.95821596631
distorted reference,5,no reconnection,0.8,0.8,0.025144,29.098057336058545,0.020067694783584354,1449.9950118765585
distorted reference,5,no reconnection,0.9,0.9,0.0097604,30.60794538980958,0.019988506613722836,1531.277247535647
distorted reference,10,edge flip,0.1,0.1,0.0097604,30.60794538979775,0.019988506613590522,1531.2772475451914
distorted reference,10,edge flip,0.2,0.2,0.025144,29.098057336048463,0.020067694783704786,1449.9950118673542
distorted reference,10,edge flip,0.3,0.3,0.036803,28.464834348941814,0.009688645057486294,2937.9582160404766
distorted reference,10,edge flip,0.4,0.4,0.043233,28.14291323357369,0.00165151945567671,17040.61864777859
