setting,seed,post_yield,category,category_label,count,q10,median,q90
5e-05,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,3,False,no_m3,no $m_3$ change (elastic candidate),5885,0.102530731702,0.25191313688,0.36950383175800006
5e-05,3,False,closing_m3,"closing, $m_3$ change",3036,0.09098576049,0.22992459802999998,0.347095762955
5e-05,3,False,nonclosing_m3,"non-closing, $m_3$ change",240,0.0904226119637,0.22995694126,0.36393246583
5e-05,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,3,True,no_m3,no $m_3$ change (elastic candidate),3885,0.210784119946,0.43728048958,0.617397316548
5e-05,3,True,closing_m3,"closing, $m_3$ change",3929,0.203984291146,0.4337848938,0.6063046021040001
5e-05,3,True,nonclosing_m3,"non-closing, $m_3$ change",225,0.217467150612,0.43349893282,0.605156622164
5e-05,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,0,False,no_m3,no $m_3$ change (elastic candidate),2009,0.107202657562,0.24043137288,0.3752165520500001
0.0001,0,False,closing_m3,"closing, $m_3$ change",2123,0.0970416305208,0.22650033524,0.353330006974
0.0001,0,False,nonclosing_m3,"non-closing, $m_3$ change",195,0.0871910511836,0.21095504367,0.32544083710599997
0.0001,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,0,True,no_m3,no $m_3$ change (elastic candidate),1142,0.23621794771000001,0.43657447581,0.556577727119
0.0001,0,True,closing_m3,"closing, $m_3$ change",2910,0.233471352608,0.43839828287,0.552264627325
0.0001,0,True,nonclosing_m3,"non-closing, $m_3$ change",221,0.23007172186,0.44331192871,0.5665957933
0.0001,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,1,False,no_m3,no $m_3$ change (elastic candidate),1827,0.0979806638668,0.23851286274,0.37509806581200006
0.0001,1,False,closing_m3,"closing, $m_3$ change",2364,0.0871166773262,0.230102971205,0.36324878807
0.0001,1,False,nonclosing_m3,"non-closing, $m_3$ change",226,0.087684481271,0.20533338815,0.34352888869
0.0001,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,1,True,no_m3,no $m_3$ change (elastic candidate),1074,0.19383297429500004,0.36135576376,0.471422056993
0.0001,1,True,closing_m3,"closing, $m_3$ change",2872,0.178728378327,0.354159595425,0.460509632414
0.0001,1,True,nonclosing_m3,"non-closing, $m_3$ change",237,0.15866155375,0.33674503367,0.458922240466
0.0001,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,2,False,no_m3,no $m_3$ change (elastic candidate),1922,0.0876688601493,0.200827802335,0.433137163745
0.0001,2,False,closing_m3,"closing, $m_3$ change",2486,0.0842738179755,0.19942554234499998,0.42769259544500005
0.0001,2,False,nonclosing_m3,"non-closing, $m_3$ change",222,0.08766536860950001,0.18312102621999998,0.36883358465200006
0.0001,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,2,True,no_m3,no $m_3$ change (elastic candidate),1045,0.254087409658,0.48781622771,0.578288492696
0.0001,2,True,closing_m3,"closing, $m_3$ change",2724,0.22788480962100002,0.463207015695,0.5598109925120001
0.0001,2,True,nonclosing_m3,"non-closing, $m_3$ change",201,0.24540125047,0.4842755011,0.58029458606
0.0001,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,3,False,no_m3,no $m_3$ change (elastic candidate),2051,0.10720398005,0.23689533654,0.39008752416
0.0001,3,False,closing_m3,"closing, $m_3$ change",2773,0.09790505311219999,0.23023961938,0.379032761094
0.0001,3,False,nonclosing_m3,"non-closing, $m_3$ change",251,0.09386388995,0.24088115832,0.39118753786
0.0001,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,3,True,no_m3,no $m_3$ change (elastic candidate),774,0.249074927853,0.43555997949,0.5546580939000001
0.0001,3,True,closing_m3,"closing, $m_3$ change",2535,0.221948804858,0.43122682563,0.565702920586
0.0001,3,True,nonclosing_m3,"non-closing, $m_3$ change",216,0.180281323885,0.41960667677,0.547487131075
0.0001,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
