target_width,actual_width,delta_gamma,seed,gamma_center,rate
0.02,0.020000000000000018,5e-06,0,0.27,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.29000000000000004,749.9999999999993
0.02,0.019999999999999962,5e-06,0,0.31000000000000005,500.00000000000097
0.02,0.020000000000000018,5e-06,0,0.33,599.9999999999994
0.02,0.019999999999999962,5e-06,0,0.35,700.0000000000014
0.02,0.020000000000000018,5e-06,0,0.37,699.9999999999994
0.02,0.020000000000000018,5e-06,0,0.39,449.9999999999996
0.02,0.020000000000000018,5e-06,0,0.41000000000000003,499.99999999999955
0.02,0.019999999999999962,5e-06,0,0.43000000000000005,450.00000000000085
0.02,0.020000000000000018,5e-06,0,0.45,349.9999999999997
0.02,0.020000000000000018,5e-06,0,0.47000000000000003,249.99999999999977
0.02,0.019999999999999962,5e-06,0,0.49,300.00000000000057
0.02,0.020000000000000018,5e-06,0,0.51,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.53,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.55,599.9999999999994
0.02,0.020000000000000018,5e-06,0,0.5700000000000001,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.5900000000000001,399.99999999999966
0.02,0.019999999999999907,5e-06,0,0.6100000000000001,550.0000000000026
0.02,0.020000000000000018,5e-06,0,0.63,649.9999999999994
0.02,0.020000000000000018,5e-06,0,0.65,749.9999999999993
0.02,0.020000000000000018,5e-06,0,0.67,299.9999999999997
0.02,0.020000000000000018,5e-06,0,0.6900000000000001,749.9999999999993
0.02,0.019999999999999907,5e-06,0,0.71,750.0000000000035
0.02,0.020000000000000018,5e-06,0,0.73,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.75,699.9999999999994
0.02,0.020000000000000018,5e-06,0,0.77,649.9999999999994
0.02,0.020000000000000018,5e-06,0,0.79,749.9999999999993
0.02,0.020000000000000018,5e-06,0,0.81,499.99999999999955
0.02,0.020000000000000018,5e-06,0,0.8300000000000001,499.99999999999955
0.02,0.019999999999999907,5e-06,0,0.8500000000000001,750.0000000000035
0.02,0.020000000000000018,5e-06,0,0.87,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.89,549.9999999999995
0.02,0.020000000000000018,5e-06,0,0.91,899.9999999999992
0.02,0.020000000000000018,5e-06,0,0.93,399.99999999999966
0.02,0.020000000000000018,5e-06,0,0.9500000000000001,449.9999999999996
0.02,0.019999999999999907,5e-06,0,0.97,800.0000000000038
0.02,0.020000000000000018,5e-06,0,0.99,549.9999999999995
0.02,0.01999999999999999,5e-06,1,0.15000000000000002,650.0000000000003
0.02,0.020000000000000018,5e-06,1,0.17,649.9999999999994
0.02,0.01999999999999999,5e-06,1,0.19,500.0000000000002
0.02,0.020000000000000018,5e-06,1,0.21000000000000002,599.9999999999994
0.02,0.01999999999999999,5e-06,1,0.23000000000000004,600.0000000000003
0.02,0.01999999999999999,5e-06,1,0.25,700.0000000000003
0.02,0.020000000000000018,5e-06,1,0.27,699.9999999999994
0.02,0.020000000000000018,5e-06,1,0.29000000000000004,599.9999999999994
0.02,0.019999999999999962,5e-06,1,0.31000000000000005,550.000000000001
0.02,0.020000000000000018,5e-06,1,0.33,349.9999999999997
0.02,0.019999999999999962,5e-06,1,0.35,650.0000000000013
0.02,0.020000000000000018,5e-06,1,0.37,749.9999999999993
0.02,0.020000000000000018,5e-06,1,0.39,649.9999999999994
0.02,0.020000000000000018,5e-06,1,0.41000000000000003,399.99999999999966
0.02,0.019999999999999962,5e-06,1,0.43000000000000005,200.00000000000037
0.02,0.020000000000000018,5e-06,1,0.45,149.99999999999986
0.02,0.020000000000000018,5e-06,1,0.47000000000000003,249.99999999999977
0.02,0.019999999999999962,5e-06,1,0.49,300.00000000000057
0.02,0.020000000000000018,5e-06,1,0.51,499.99999999999955
0.02,0.020000000000000018,5e-06,1,0.53,349.9999999999997
0.02,0.020000000000000018,5e-06,1,0.55,499.99999999999955
0.02,0.020000000000000018,5e-06,1,0.5700000000000001,499.99999999999955
0.02,0.020000000000000018,5e-06,1,0.5900000000000001,999.9999999999991
0.02,0.019999999999999907,5e-06,1,0.6100000000000001,450.0000000000021
0.02,0.020000000000000018,5e-06,1,0.63,549.9999999999995
0.02,0.020000000000000018,5e-06,1,0.65,399.99999999999966
0.02,0.020000000000000018,5e-06,1,0.67,799.9999999999993
0.02,0.020000000000000018,5e-06,1,0.6900000000000001,649.9999999999994
0.02,0.019999999999999907,5e-06,1,0.71,650.0000000000031
0.02,0.020000000000000018,5e-06,1,0.73,649.9999999999994
0.02,0.020000000000000018,5e-06,1,0.75,699.9999999999994
0.02,0.020000000000000018,5e-06,1,0.77,649.9999999999994
0.02,0.020000000000000018,5e-06,1,0.79,749.9999999999993
0.02,0.020000000000000018,5e-06,1,0.81,949.9999999999992
0.02,0.020000000000000018,5e-06,1,0.8300000000000001,699.9999999999994
0.02,0.019999999999999907,5e-06,1,0.8500000000000001,550.0000000000026
0.02,0.020000000000000018,5e-06,1,0.87,799.9999999999993
0.02,0.020000000000000018,5e-06,1,0.89,799.9999999999993
0.02,0.020000000000000018,5e-06,1,0.91,599.9999999999994
0.02,0.020000000000000018,5e-06,1,0.93,549.9999999999995
0.02,0.020000000000000018,5e-06,1,0.9500000000000001,849.9999999999992
0.02,0.019999999999999907,5e-06,1,0.97,600.0000000000028
0.02,0.020000000000000018,5e-06,1,0.99,699.9999999999994
0.02,0.01999999999999999,5e-06,2,0.15000000000000002,350.00000000000017
0.02,0.020000000000000018,5e-06,2,0.17,449.9999999999996
0.02,0.01999999999999999,5e-06,2,0.19,350.00000000000017
0.02,0.020000000000000018,5e-06,2,0.21000000000000002,649.9999999999994
0.02,0.01999999999999999,5e-06,2,0.23000000000000004,300.00000000000017
0.02,0.01999999999999999,5e-06,2,0.25,650.0000000000003
0.02,0.020000000000000018,5e-06,2,0.27,699.9999999999994
0.02,0.020000000000000018,5e-06,2,0.29000000000000004,799.9999999999993
0.02,0.019999999999999962,5e-06,2,0.31000000000000005,450.00000000000085
0.02,0.020000000000000018,5e-06,2,0.33,399.99999999999966
0.02,0.019999999999999962,5e-06,2,0.35,500.00000000000097
0.02,0.020000000000000018,5e-06,2,0.37,649.9999999999994
0.02,0.020000000000000018,5e-06,2,0.39,349.9999999999997
0.02,0.020000000000000018,5e-06,2,0.41000000000000003,449.9999999999996
0.02,0.019999999999999962,5e-06,2,0.43000000000000005,350.0000000000007
0.02,0.020000000000000018,5e-06,2,0.45,499.99999999999955
0.02,0.020000000000000018,5e-06,2,0.47000000000000003,299.9999999999997
0.02,0.019999999999999962,5e-06,2,0.49,550.000000000001
0.02,0.020000000000000018,5e-06,2,0.51,799.9999999999993
0.02,0.020000000000000018,5e-06,2,0.53,449.9999999999996
0.02,0.020000000000000018,5e-06,2,0.55,449.9999999999996
0.02,0.020000000000000018,5e-06,2,0.5700000000000001,349.9999999999997
0.02,0.020000000000000018,5e-06,2,0.5900000000000001,1099.999999999999
0.02,0.019999999999999907,5e-06,2,0.6100000000000001,600.0000000000028
0.02,0.020000000000000018,5e-06,2,0.63,599.9999999999994
0.02,0.020000000000000018,5e-06,2,0.65,649.9999999999994
0.02,0.020000000000000018,5e-06,2,0.67,499.99999999999955
0.02,0.020000000000000018,5e-06,2,0.6900000000000001,349.9999999999997
0.02,0.019999999999999907,5e-06,2,0.71,550.0000000000026
0.02,0.020000000000000018,5e-06,2,0.73,599.9999999999994
